mechanism,missing_frac,seed,method,nrmse,nrmse_refnorm
mar,0.1,31337,knn_k10,0.6461774095579166,0.5837073813239745
mar,0.1,31337,knn_k5,0.6448127618178935,0.5771623464293478
mar,0.1,31337,softimpute,0.8543705763158028,0.6754277634593636
mar,0.15,123,knn_k10,0.7860461796023243,0.7368089050147014
mar,0.15,123,knn_k5,0.8079888678809669,0.7346308282695065
mar,0.15,123,softimpute,0.8620556967212057,0.8232459029197648
mar,0.15,456,knn_k10,0.7339778184439435,0.6024017271365858
mar,0.15,456,knn_k5,0.7273661488907557,0.592496856351067
mar,0.15,456,softimpute,0.8222726078987048,0.6773755106485476
mar,0.15,789,knn_k10,0.7688956491241731,0.7392283982391704
mar,0.15,789,knn_k5,0.790710972568705,0.7557030226595084
mar,0.15,789,softimpute,0.8533662363865399,0.8089097602325399
mar,0.15,1024,knn_k10,0.7929639081318295,0.8202147813775524
mar,0.15,1024,knn_k5,0.795973512373273,0.797483907567718
mar,0.15,1024,softimpute,0.9046416424500069,0.8546941826185764
mar,0.15,1337,knn_k10,0.775297126006404,0.7706282158559109
mar,0.15,1337,knn_k5,0.7677062709089792,0.7673625649640828
mar,0.15,1337,softimpute,0.859902961273201,0.7910690661190366
mar,0.15,2024,knn_k10,0.7215103331837687,0.5858946802414929
mar,0.15,2024,knn_k5,0.7264659079068084,0.5890463363161822
mar,0.15,2024,softimpute,0.8470816625481217,0.7060916011308483
mar,0.15,7,knn_k10,0.7571296398027115,0.7645582972886595
mar,0.15,7,knn_k5,0.7674924085580834,0.7624020131359537
mar,0.15,7,softimpute,0.8584111365587679,0.7656553972121034
mar,0.15,99,knn_k10,0.8019461540880077,0.8113132831298914
mar,0.15,99,knn_k5,0.7889121176353507,0.7802892884715791
mar,0.15,99,softimpute,0.8205013404244372,0.8431655803833128
mar,0.15,555,knn_k10,0.7452466212008747,0.6480055129568181
mar,0.15,555,knn_k5,0.7067957443632183,0.6503567936812311
mar,0.15,555,softimpute,0.7971463078273521,0.74681808479182
mar,0.15,31337,knn_k10,0.7327724357910892,0.584989037998559
mar,0.15,31337,knn_k5,0.7264108534731369,0.6101842915597524
mar,0.15,31337,softimpute,0.8496422904757297,0.7157605130374588
mar,0.2,123,knn_k10,0.8096449750190334,0.8417065901392053
mar,0.2,123,knn_k5,0.8113783646133862,0.8457577828345553
mar,0.2,123,softimpute,0.8762800767531779,0.8896084399779781
mar,0.2,456,knn_k10,0.785244287063337,0.7163743770910146
mar,0.2,456,knn_k5,0.7937695506998642,0.7269493416628098
mar,0.2,456,softimpute,0.841400023625472,0.7582310044443611
mar,0.2,789,knn_k10,0.7977257274537389,0.7701176950626949
mar,0.2,789,knn_k5,0.8196848462473487,0.7826927730765254
mar,0.2,789,softimpute,0.881198936924472,0.7856551267172556
mar,0.2,1024,knn_k10,0.7817907649845361,0.7205605332743363
mar,0.2,1024,knn_k5,0.7835503969763018,0.7269872037893218
mar,0.2,1024,softimpute,0.9262857258785004,0.8767204155432553
mar,0.2,1337,knn_k10,0.8086533492067551,0.8012992724128513
mar,0.2,1337,knn_k5,0.8002595784964024,0.8020388008384027
mar,0.2,1337,softimpute,0.8761636222811792,0.8387440711855834
mar,0.2,2024,knn_k10,0.7771263527062,0.6605958321132985
mar,0.2,2024,knn_k5,0.7811094097972167,0.6614858595645783
mar,0.2,2024,softimpute,0.880183189682561,0.7225227190084663
mar,0.2,7,knn_k10,0.7958544445697098,0.7923436423537321
mar,0.2,7,knn_k5,0.7994746844977236,0.816496196056685
mar,0.2,7,softimpute,0.855148261257113,0.8204330108456792
mar,0.2,99,knn_k10,0.8294680778793546,0.7800710335734415
mar,0.2,99,knn_k5,0.8403742965492574,0.7894075905853005
