method,target,target_type,regressor,cv_seed,r2,rmse
softimpute,Vitamin_C,micro,rf,3,0.6887630742609235,14.178533709695149
softimpute,Vitamin_C,micro,rf,4,0.6358664475934512,15.219460248991073
softimpute,Vitamin_C,micro,ridge,0,0.07298086837640061,24.150878097096168
softimpute,Vitamin_C,micro,ridge,1,0.1624550754409107,23.420749245846412
softimpute,Vitamin_C,micro,ridge,2,0.0031807157422472977,24.056689564052835
softimpute,Vitamin_C,micro,ridge,3,0.17136316555516376,23.173709634616976
softimpute,Vitamin_C,micro,ridge,4,0.15332491465897297,23.348130657862878
softimpute,Vitamin_C,micro,knr,0,0.3879968530978286,19.89322061420963
softimpute,Vitamin_C,micro,knr,1,0.408285933536495,19.269491661468983
softimpute,Vitamin_C,micro,knr,2,0.4192216212180077,19.013569837123942
softimpute,Vitamin_C,micro,knr,3,0.45284593578862326,19.034105082753577
softimpute,Vitamin_C,micro,knr,4,0.43005685687707534,19.027161797610706
masked_nmf,Protein,macro,rf,0,0.7740133832055335,5.4519180687265285
masked_nmf,Protein,macro,rf,1,0.7658905313615767,5.555999009907318
masked_nmf,Protein,macro,rf,2,0.7473386359539269,5.7460135103976295
masked_nmf,Protein,macro,rf,3,0.7554008868318473,5.535877850652653
masked_nmf,Protein,macro,rf,4,0.7722270770666763,5.43666097266684
masked_nmf,Protein,macro,ridge,0,0.6586811636894669,6.6092891811241214
masked_nmf,Protein,macro,ridge,1,0.6683550830516752,6.562912363839244
masked_nmf,Protein,macro,ridge,2,0.6566594982030363,6.604303653134499
masked_nmf,Protein,macro,ridge,3,0.6595200416674549,6.569330739620909
masked_nmf,Protein,macro,ridge,4,0.6620405906625951,6.596954151931999
masked_nmf,Protein,macro,knr,0,0.7400511610407119,5.842288675482857
masked_nmf,Protein,macro,knr,1,0.7478344076521282,5.758915428568905
masked_nmf,Protein,macro,knr,2,0.7423244845198549,5.813926614838706
masked_nmf,Protein,macro,knr,3,0.723622271605804,5.950248894556649
masked_nmf,Protein,macro,knr,4,0.732656561635147,5.899335644255785
masked_nmf,Fat,macro,rf,0,0.6514353733138013,7.643077683064179
